T_wb,T_CT1,T_CT2,T_CT3,Load_tot,E_exchanged,E_consumed,COP
-4.169338503474023,16.3,22.5,23.5,3908.5285800239344,219.40506088625187,1.0445833333333332,3741.710647011346
-4.169338503474023,16.3,22.5,23.5,2740.7793728707256,126.99017741743472,1.049375,2611.820724593902
-3.3500112558226647,18.8,20.4,21.4,3322.8141478567063,170.29823880427318,1.1979166666666667,2773.8274625586414
-3.3500112558226647,18.8,20.4,21.4,2743.687476381846,121.59079302210574,1.193125,2299.5809126301488
-3.3500112558226647,18.8,20.4,21.4,3766.852146942757,207.454234504477,1.193125,3157.13118654186
-3.3500112558226647,18.8,20.4,21.4,4075.906695739015,233.20878023749853,1.1979166666666667,3402.4960242690904
-3.3500112558226647,18.8,20.4,21.4,4469.11897532132,267.1759080739479,1.193125,3745.725699588325
-3.3500112558226647,18.8,20.4,21.4,4939.919312128221,306.5536290011525,1.193125,4140.320010165088
-3.3500112558226647,17.6,22.7,24.2,2988.7970372628974,143.81124511942318,1.193125,2505.015851032287
-3.3500112558226647,17.6,22.7,24.2,3104.1470771260956,151.4758681804663,1.193125,2601.694773913962
-3.3500112558226647,17.6,22.7,24.2,2913.389647767259,138.5714200725337,1.049375,2776.309372500068
-3.3500112558226647,17.6,22.7,24.2,3755.417684769827,204.09485621537743,26.32267454224537,142.66854527805452
-3.3500112558226647,17.6,22.7,24.2,4334.969309125566,252.08913379481933,26.45204954224537,163.88028089099043
-3.3500112558226647,17.6,22.7,24.2,3955.169096788657,220.89351595191877,26.461632875578704,149.4680662900006
-2.120483277803203,18.3,21.3,23.4,3965.4655811455405,220.40045006809757,1.193125,3323.5960868689704
-2.120483277803203,18.3,21.3,23.4,3762.8676319292813,204.86995040832682,1.193125,3153.791624456181
-2.120483277803203,18.3,21.3,23.4,3400.613330417707,177.68068662717224,1.193125,2850.1735613768105
-2.120483277803203,18.3,21.3,23.4,3882.353806799095,214.82661146781058,40.36685446817131,96.17677319545112
-2.120483277803203,18.3,21.3,23.4,2629.502209932961,110.72217119678045,40.36685446817131,65.14013154050151
-2.120483277803203,18.3,21.3,23.4,3860.4203489852825,208.35481691495792,40.50102113483798,95.31661772509347
-2.120483277803203,18.7,20.2,22.3,3157.422097620847,141.29821144968847,1.1979166666666667,2635.761055405229
-2.120483277803203,18.7,20.2,22.3,3601.4733573534436,187.72157819861133,1.1979166666666667,3006.447324399396
-2.120483277803203,18.7,20.2,22.3,3506.0733301179625,178.2017267448979,1.193125,2938.5632939700054
-2.120483277803203,18.7,20.2,22.3,3016.626273926028,251.2317777438414,1.6435416666666667,1835.4425294517598
-2.120483277803203,18.7,20.2,22.3,3063.627434332288,255.30228619435735,1.6435416666666667,1864.0400158188595
-2.120483277803203,18.7,20.2,22.3,2926.138003447715,243.84483362064293,1.6483333333333334,1775.210113315095
-1.8972658145021342,22.4,22.2,26.0,2884.668858907888,240.38907157565734,1.6483333333333334,1750.0518860917418
-1.8972658145021342,22.4,22.2,26.0,2624.7039330083294,179.01177173373065,1.193125,2199.856622741397
-1.8972658145021342,22.4,22.2,26.0,2012.4469176478492,166.93040408249422,1.1979166666666667,1679.9556877755958
-1.8972658145021342,22.4,22.2,26.0,1855.571466443697,153.54837616327887,1.1979166666666667,1548.9987893790862
-1.8972658145021342,22.4,22.2,26.0,1839.5664325737982,152.37648402897184,1.193125,1541.805286599307
-1.8972658145021342,22.4,22.2,26.0,1615.5081634055682,133.7381444181263,1.193125,1354.014175719701
-1.8972658145021342,18.2,9.3,24.2,10.79442397096004,0.0,0.0,0.0
-1.8972658145021342,18.2,9.3,24.2,14.422109501305824,0.0,0.0,0.0
-1.8972658145021342,18.2,9.3,24.2,13.640854799442497,0.0,0.0,0.0
-1.8972658145021342,18.2,9.3,24.2,3611.65963531495,0.0,0.0,0.0
-1.8972658145021342,18.2,9.3,24.2,2128.5622946611256,176.56999053108512,1.1883333333333332,1791.2165172463892
-1.8972658145021342,18.2,9.3,24.2,14.383005433132496,0.0,0.0,0.0
-1.2286654937681192,19.4,9.0,25.9,12.415359055500344,0.0,0.0,0.0
-1.2286654937681192,19.4,9.0,25.9,11.09145997867731,0.0,0.0,0.0
-1.2286654937681192,19.4,9.0,25.9,9.690777756435835,0.0,0.0,0.0
-1.2286654937681192,19.4,9.0,25.9,3035.642924107739,252.33222216609877,1.193125,2544.279035396743
-1.2286654937681192,19.4,9.0,25.9,3035.642924107739,252.33222216609877,1.193125,2544.279035396743
-1.2286654937681192,19.4,9.0,25.9,2961.071749725579,246.07354439016672,1.1883333333333332,2491.785483640039
-1.2286654937681192,16.9,11.6,24.6,3341.1327226174394,277.72096103792643,1.193125,2800.320773278105
-1.2286654937681192,16.9,11.6,24.6,3304.5582136104176,274.7516148258813,1.193125,2769.6663917111932
-1.2286654937681192,16.9,11.6,24.6,3201.064006717675,266.1583498829384,1.1883333333333332,2693.7425021467116
-1.2286654937681192,16.9,11.6,24.6,3103.195038373052,257.9279795196113,1.193125,2600.896836771547
-1.2286654937681192,16.9,11.6,24.6,2921.7476335969814,242.90418663691986,1.1883333333333332,2458.693660810924
-1.2286654937681192,16.9,11.6,24.6,2263.010597776929,188.00943365191551,1.1835416666666667,1912.0666906053966
-1.1917899987536202,16.5,13.8,21.0,1387.2218554181864,115.07946027592283,32.168927000000004,43.12303781279948
-1.1917899987536202,16.5,13.8,21.0,2421.1249276029903,201.26574361213974,32.16413533333334,75.27405610353388
-1.1917899987536202,16.5,13.8,21.0,3733.389651413181,310.55047054564,32.30788533333334,115.55660832933852
-1.1917899987536202,16.5,13.8,21.0,3746.646671587695,311.65522222684945,1.193125,3140.1962674386127
-1.1917899987536202,16.5,13.8,21.0,3649.4725933577347,303.58025755521425,1.1883333333333332,3071.0849312968317
-1.1917899987536202,16.5,13.8,21.0,3584.7367794421807,298.1856063955848,1.193125,3004.4938958132475
-1.1917899987536202,17.2,15.2,23.1,2863.7988863978335,238.1167044914873,1.1883333333333332,2409.928936660169
-1.1917899987536202,17.2,15.2,23.1,2790.422355381568,232.0256740119879,1.1883333333333332,2348.181505229931
-1.1917899987536202,17.2,15.2,23.1,2660.9021193585736,221.23232101007167,1.1883333333333332,2239.1883192358264
-1.1917899987536202,17.2,15.2,23.1,2660.2320688197815,221.23232101007167,1.1883333333333332,2238.6244618399287
-1.1917899987536202,17.2,15.2,23.1,2574.3408694917284,214.0188835211679,1.1835416666666667,2175.116383305808
-1.1917899987536202,17.2,15.2,23.1,2526.5403027562843,210.06047136527906,1.1883333333333332,2126.1208718846715
-1.1857169715520968,17.3,17.4,23.6,1793.4423519756776,148.8904884702717,1.193125,1503.147073421207
-1.1857169715520968,17.3,17.4,23.6,2133.218852512326,177.29241939096937,1.193125,1787.925701424684
-1.1857169715520968,17.3,17.4,23.6,2387.7797032153235,198.50582361621915,1.1835416666666667,2017.4868113771436
-1.1857169715520968,17.3,17.4,23.6,2561.7545804321194,213.00373005095213,1.1835416666666667,2164.4819549505673
-1.1857169715520968,17.3,17.4,23.6,2661.1755117549674,221.28880766118948,1.1883333333333332,2239.418382963507
-1.1857169715520968,17.3,17.4,23.6,2870.2255870383437,238.79207430045724,1.1883333333333332,2415.3370998920145
-1.1857169715520968,17.2,18.8,24.4,1772.5763357165285,147.26510460181956,1.17875,1503.7763187414878
-1.1857169715520968,17.2,18.8,24.4,1929.1642529333956,160.31409770322514,1.17875,1636.618666327377
-1.1857169715520968,17.2,18.8,24.4,2083.8753670622527,173.20669054729657,1.1835416666666667,1760.7114525433574
-1.1857169715520968,17.2,18.8,24.4,2191.8609006265956,182.2337166338498,1.1835416666666667,1851.9507697601935
-1.1857169715520968,17.2,18.8,24.4,2433.2121969507502,202.3463246608627,1.17875,2064.2309200006366
-1.1857169715520968,17.2,18.8,24.4,2542.633096238715,211.4728266067979,1.17875,2157.0588303191644
-1.0751477259756825,17.5,19.9,24.8,1795.284582817734,149.224285594305,1.1739583333333334,1529.257497342524
-1.0751477259756825,17.5,19.9,24.8,2073.7945124028797,172.4334463930672,1.1883333333333332,1745.1286219379074
-1.0751477259756825,17.5,19.9,24.8,1618.6119863644494,134.50156922319795,1.1835416666666667,1367.600340529723
-1.0751477259756825,17.5,19.9,24.8,1825.2433446622413,151.72084908134727,35.063721281828705,52.055038026102174
-1.0751477259756825,17.5,19.9,24.8,10483.260710528239,873.2638385514958,35.063721281828705,298.9774138993355
